stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end,t_slice_phi,t_plant_rollout,t_accumulate,t_window_grid,t_filter,t_xhat,t_replan,t_postlog
56,334.12157583236694,6,6,0.62006974,0.5743234,0.7815974310123198,0.4525979034833551,0.3958102717022902,0.3697862581742315,0.8029787119982181,0.08124349001768903,0.09392866109274244,9.5367431640625e-7,2.5033950805664062e-5,4.696846008300781e-5,1.9073486328125e-6,22.31464910507202,6.604194641113281e-5,311.80645084381104,1.2874603271484375e-5
57,23.915817975997925,6,0,0.5776871,0.5451289,0.7821770440065633,0.45663644154380956,0.3946994663647132,0.36901711922841296,0.8141593783159674,0.08332811624887837,0.09334166049974243,9.5367431640625e-7,3.3855438232421875e-5,3.814697265625e-5,1.9073486328125e-6,23.915563106536865,6.890296936035156e-5,0.0,2.1457672119140625e-6
58,283.5813419818878,6,5,0.5474017,0.5084109,0.7826449634810432,0.45923198559658396,0.3893870549173118,0.3794801531105678,0.7985324130064994,0.08359697195392371,0.09310663378047924,9.5367431640625e-7,3.886222839355469e-5,5.1975250244140625e-5,3.0994415283203125e-6,23.538594007492065,5.1021575927734375e-5,260.0422990322113,1.3113021850585938e-5
59,24.418066024780273,6,0,0.626988,0.56680804,0.7827827425694927,0.4597158923717863,0.3854248290265997,0.36954448248046856,0.7832306781867401,0.08143722528781136,0.09210845621242923,1.1920928955078125e-6,3.600120544433594e-5,6.985664367675781e-5,2.1457672119140625e-6,24.417821884155273,4.696846008300781e-5,0.0,9.5367431640625e-7
60,282.11948704719543,6,5,0.5979362,0.5383804,0.7828572254209342,0.4546142710523048,0.3848398084611773,0.3661663890787398,0.8002357728135117,0.08098858464629921,0.09054024978012637,0.0,2.9087066650390625e-5,5.602836608886719e-5,1.9073486328125e-6,21.98395299911499,4.9114227294921875e-5,260.13509798049927,1.2159347534179688e-5
61,24.3246591091156,6,0,0.60690117,0.5378691,0.783311652465681,0.45164866786737834,0.3825017202625903,0.3658384896947161,0.8191232836793809,0.0817047856057812,0.09032403485045143,9.5367431640625e-7,3.409385681152344e-5,7.796287536621094e-5,2.1457672119140625e-6,24.324354887008667,6.914138793945312e-5,0.0,2.1457672119140625e-6
62,283.27004885673523,6,5,0.5732989,0.5036596,0.783776714092602,0.4492850784375888,0.38377932159200884,0.3587287245294331,0.8083608902692696,0.08024655107240304,0.09125240709472325,9.5367431640625e-7,3.910064697265625e-5,4.792213439941406e-5,3.0994415283203125e-6,22.80002188682556,7.009506225585938e-5,260.4696350097656,6.9141387939453125e-6
63,24.050092935562134,6,0,0.5529655,0.49899808,0.7842389416348092,0.4477724741049376,0.3815372475595999,0.35076676144703206,0.8099712891084704,0.08022834712060796,0.09224278591655441,9.5367431640625e-7,1.3113021850585938e-5,3.0994415283203125e-5,9.5367431640625e-7,24.04990792274475,5.0067901611328125e-5,0.0,9.5367431640625e-7
64,280.387736082077,5,5,0.5222426,0.46889082,0.7847838180094051,0.4542619483284787,0.3813584413126592,0.35156420662386034,0.8326481482656907,0.08085425339665156,0.09110574326871371,0.0,2.5987625122070312e-5,5.817413330078125e-5,1.9073486328125e-6,20.254305124282837,6.890296936035156e-5,260.13303995132446,8.106231689453125e-6
65,23.595396995544434,6,0,0.53337973,0.5398082,0.785421314108564,0.4519109508455256,0.3812004824834285,0.3573780032555851,0.8161408236881933,0.08036664046633106,0.09270492251656971,9.5367431640625e-7,1.4066696166992188e-5,3.886222839355469e-5,1.1920928955078125e-6,23.595207929611206,4.887580871582031e-5,0.0,9.5367431640625e-7
