stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
170,6,0.05661343430552503,0.05772662084207357,0.0011131865365485369,0.05772662084207357,127.97820023588288,128,16,16,24.806260138340754,16;32;64;128,24.806260138340754;8.55257625942921;3.0826079673945777;0.6880369004474052,0.2,2,226,0.8828125,69.31520107784308,68.91588025330566,-0.39932082453742623,42.89135498023453,13.40354843132329,6.322310924530029
172,1,0.0,0.009590710142684932,0.009590710142684932,0.0503750722014412,64.00000000768628,128,16,16,27.20446429990812,16;32;64;128,27.20446429990812;9.500695333858738;6.219457664905153;1.3531970408297977,0.2,2,241,0.94140625,-113.40555009199306,-7.545474134560209,105.86007595743285,45.8560618384883,14.330019324527594,6.303203821182251
172,2,0.009590710142684932,0.019665724582973172,0.01007501444028824,0.0503750722014412,96.90066192563593,128,16,16,19.737375190151308,16;32;64;128,19.737375190151308;7.444369755603032;3.5156178253645853;1.3349151904404621,0.2,2,225,0.87890625,-7.545474134560209,33.603698907681974,41.14917304224218,50.576530712279364,15.8051658475873,6.328572034835815
172,3,0.019665724582973172,0.029740739023261412,0.01007501444028824,0.0503750722014412,113.2086536998206,128,16,16,21.1246019956321,16;32;64;128,21.1246019956321;6.369845836532419;4.283845498180847;1.5164706872143585,0.2,2,229,0.89453125,33.603698907681974,50.91035897098482,17.306660063302843,46.969320549836944,14.677912671824044,6.336775064468384
172,4,0.029740739023261412,0.03981575346354965,0.01007501444028824,0.0503750722014412,118.7834638030855,128,16,16,25.313117830892637,16;32;64;128,25.313117830892637;8.868673728859582;3.617507896911899;1.154856167087404,0.2,2,235,0.91796875,50.91035897098482,63.5123032736592,12.601944302674383,41.21439765507151,12.879499267209846,6.341822147369385
172,5,0.03981575346354965,0.049890767903837896,0.010075014440288244,0.0503750722014412,123.72919146604714,128,16,16,27.587974697118753,16;32;64;128,27.587974697118753;6.577603550836352;4.428314189875572;1.2053538839749791,0.2,2,231,0.90234375,63.5123032736592,69.16349294316024,5.651189669501036,40.60695123048251,12.689672259525784,6.343613147735596
172,6,0.049890767903837896,0.0503750722014412,0.000484304297603301,0.0503750722014412,127.99295100743191,128,16,16,23.557526314416858,16;32;64;128,23.557526314416858;7.056510559641098;2.8756496361390216;0.6612444179559803,0.2,2,231,0.90234375,69.16349294316024,68.12264740327373,-1.0408455398865044,40.053288230654935,12.516652572079666,6.338356971740723
174,1,0.0,0.008059482142438401,0.008059482142438401,0.0601550217825654,64.00000007459917,128,16,16,32.18715912827823,16;32;64;128,32.18715912827823;12.940536470042806;8.271356119188214;2.38097293552392,0.2,2,246,0.9609375,-141.8055797976558,-32.997452316689305,108.8081274809665,41.02989480247342,12.821842125772944,6.329694032669067
174,2,0.008059482142438401,0.020090486498951482,0.01203100435651308,0.0601550217825654,82.01467384507802,128,16,16,23.672197817190778,16;32;64;128,23.672197817190778;6.674110868982088;5.262175863655997;1.7240443121731226,0.2,2,229,0.89453125,-32.997452316689305,39.32474576542154,72.32219808211084,47.40428105007686,14.813837828149019,6.337877035140991
174,3,0.020090486498951482,0.03212149085546456,0.01203100435651308,0.0601550217825654,113.91061723245416,128,16,16,17.902326166123775,16;32;64;128,17.902326166123775;9.284829175892956;8.11563661832517;1.465860938057131,0.2,2,218,0.8515625,39.32474576542154,57.213381874375045,17.888636108953506,45.108191546846186,14.096309858389432,6.34046483039856
174,4,0.03212149085546456,0.044152495211977644,0.01203100435651308,0.0601550217825654,121.3502736877195,128,16,16,26.30874083296922,16;32;64;128,26.30874083296922;6.44402278548125;3.3833626367946428;1.032510182780977,0.2,2,211,0.82421875,57.213381874375045,59.63921649160329,2.4258346172282472,50.72656252982452,15.852050790570162,6.339354038238525
174,5,0.044152495211977644,0.056183499568490725,0.01203100435651308,0.0601550217825654,123.00927017419782,128,16,16,25.996018761710985,16;32;64;128,25.996018761710985;5.166566328637214;4.204431941246096;0.8673641210005603,0.2,2,209,0.81640625,59.63921649160329,64.06389262480661,4.42467613320332,44.44611101644327,13.889409692638521,6.361240863800049
174,6,0.056183499568490725,0.0601550217825654,0.003971522214074673,0.0601550217825654,127.47514013685839,128,16,16,24.257399336647357,16;32;64;128,24.257399336647357;5.6944837579114145;5.9043846019784985;0.21778872852836725,0.2,2,212,0.828125,64.06389262480661,63.284116180147976,-0.779776444658637,46.65365355629788,14.579266736343088,6.360712051391602
