stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end
68,44.84903597831726,5,6,0.20941381,0.16054155,0.8715404739455094,0.31518384954826234,0.29179766548303315,0.08016827311329561,0.876873109964311,0.0503728687661045,0.06460942460705198
69,6.756087064743042,5,0,0.15675974,0.14112405,0.8714876181713599,0.3174608832451643,0.293083819193096,0.08364964968687977,0.8552171887521995,0.04912047161734456,0.06474845856433957
70,44.60889291763306,5,6,0.15508287,0.13915978,0.8712944839983184,0.3176753815972886,0.2917819663382649,0.08006630099761865,0.8543785695969708,0.04864338414802916,0.06364598859652659
71,6.880958080291748,5,0,0.20647442,0.17410888,0.8710881624546248,0.32190860620228084,0.2903836900592069,0.07687302659471826,0.8686097862490555,0.048178834963146316,0.06384644198649833
72,45.13577580451965,5,6,0.2054521,0.17171115,0.8709387116733919,0.3228259675821298,0.28910068518958587,0.07884361290658573,0.8560536948786331,0.04837687144674279,0.06242449428196371
73,6.399598836898804,5,0,0.19560163,0.17286831,0.8707015736381174,0.3240882202882048,0.28850266490243803,0.07699956081663648,0.8571331645441781,0.047086744091663205,0.06305902305443094
74,45.753539085388184,6,6,0.19402254,0.17002486,0.8703385561473789,0.3239031821526646,0.28970263573265653,0.07889393059142816,0.8321126582225795,0.04724218885248317,0.0624348268031096
75,6.874797821044922,5,0,0.20121054,0.16284741,0.8698528786713298,0.32095015526500476,0.2898728858797325,0.07815760993107707,0.8312299303783295,0.04536729695392043,0.062328826537278066
76,44.87985110282898,5,6,0.1985709,0.16010343,0.8693386870421144,0.3195920748462969,0.28391663317999877,0.07347466636589121,0.8225615755025193,0.0456731588517294,0.0607881301905608
77,6.779397010803223,5,0,0.22847955,0.1634948,0.8688219571801576,0.32067689300879215,0.2821902362727135,0.06993349157207736,0.8324017635765714,0.04569241660251031,0.06048621003517781
78,45.821707010269165,6,6,0.22629963,0.16047983,0.8683361539412342,0.318477228710474,0.284198949012941,0.0710501008811896,0.8276086551141739,0.04612989920592869,0.06159702179098251
79,8.319002866744995,6,0,0.2727805,0.15949298,0.8676804790822651,0.3165637050773823,0.2863779383553661,0.07401542306112686,0.8152035783826235,0.047201648913617486,0.061700661492683245
80,44.80968713760376,5,6,0.27045715,0.15743819,0.8671060586222603,0.3078686656444307,0.2875202463017443,0.07824530120403475,0.8373280377253401,0.04578498519335539,0.060176665693302586
81,7.173587083816528,5,0,0.16023506,0.13071014,0.8667924041059478,0.30625406016448425,0.2832667268614066,0.07387967106799626,0.8595071880106644,0.04477058300726354,0.06073390137196003
82,38.46840310096741,5,5,0.15831755,0.1287374,0.8666123249145411,0.299220519468443,0.28095117529423247,0.07256593722985548,0.8448990827954169,0.045087891215092865,0.06182081787440824
83,6.599596977233887,5,0,0.18585186,0.15907045,0.8663727152620175,0.28944219807902627,0.27855100674564953,0.07208006497240958,0.8548471155934201,0.04556912546833856,0.06075435778637991
84,44.68759298324585,5,6,0.18385524,0.15597503,0.8661491753859023,0.288057182724668,0.27274158657498554,0.0704864831970619,0.8511137106174346,0.045399584991327804,0.06123880942441471
85,8.145094156265259,6,0,0.22968765,0.15805463,0.8659083094899547,0.28302276312185337,0.27477045984513726,0.07451937180375279,0.8574886908779386,0.045206134930711704,0.06106372779617608
86,45.99600005149841,6,6,0.22809221,0.15566151,0.8657944642747802,0.2823958755144555,0.2736727841025688,0.07579366608481629,0.8580275048304299,0.04367430571259997,0.061080577272726505
87,6.327812910079956,5,0,0.23816627,0.17021306,0.8656830362697517,0.28410843722124945,0.2744163809091661,0.07746790527954785,0.8510530007699831,0.04335636329952577,0.060937156290965584
88,44.80941390991211,5,6,0.23789985,0.1677954,0.8655359787249552,0.2809758392692542,0.2729704382099568,0.07412040575391965,0.8504289214022784,0.043928814406010784,0.0597848480543052
89,7.711344957351685,6,0,0.216815,0.18890987,0.8652526052074935,0.2822299607244086,0.2701855759484551,0.07588592439853523,0.8433424733322956,0.04445745650453624,0.06088419500452822
90,44.96976089477539,5,6,0.21483023,0.18648614,0.8650076341946469,0.2801041723073486,0.26605267696084545,0.07928607190040818,0.8482324411424796,0.04431715680041101,0.06105280860364737
91,6.83856987953186,5,0,0.23545176,0.17768072,0.8646614320173645,0.27981815784147174,0.2689885180238993,0.08137180679988223,0.828065354033228,0.043667419470011654,0.06134280248604482
92,44.761905908584595,5,6,0.23258846,0.17546552,0.8642614881199091,0.279916322600306,0.26581539521185665,0.08350249533043129,0.8183836913609286,0.04448090675352999,0.0611787458011605
93,6.850831031799316,5,0,0.22393201,0.15648344,0.8638006398938713,0.27139330221883146,0.2651842455335868,0.08214890365839345,0.8340567497930574,0.04506963974695518,0.0602064651200768
94,44.532317876815796,5,6,0.22317357,0.15411894,0.8634489778408725,0.2692434139411299,0.2582265225434081,0.08133024084180455,0.8272355646651501,0.045016434036969796,0.06124888933146028
95,6.684208869934082,5,0,0.20918767,0.14115566,0.8631117770959339,0.26935285544809595,0.25608448408633316,0.08101489367469894,0.8370472691640215,0.04449572638907929,0.06205546485334672
